Scope,Project,Namespace,Type,Member,Maintainability Index,Cyclomatic Complexity,Depth of Inheritance,Class Coupling,Lines of Source code,Lines of Executable code
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelInterface,FindRowInWorkSheetForUpdate(int) : Range,63,2,,8,25,9
Type,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelInterface, ,64,44,1,34,368,148
Type,TenantRosterAutomation (Release),TenantRosterAutomation,MSWordInterface, ,64,25,1,33,226,105
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,fillSheetSelectorListBox() : void,64,3,,5,19,8
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelFileData,SaveChanges(List<Apartment>) : void,64,3,,5,28,9
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelInterface,StartExcelOpenWorkbook() : void,64,2,,5,18,8
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelFileData,"ExcelFileData(string, string)",64,2,,4,16,9
Member,TenantRosterAutomation (Release),TenantRosterAutomation,TenantDataTable,GetTenant(int) : Tenant,64,2,,3,20,9
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex,CreateBuildAndApartmentFromDataRow(DataRow) : BuildingAndApartment,64,1,,3,17,8
Member,TenantRosterAutomation (Release),TenantRosterAutomation,DeleteRenterDlg,"DeleteRenter_Load(object, EventArgs) : void",65,3,,5,13,7
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex,CreateBuildingAndApartmentsList(DataTable) : List<BuildingAndApartment>,65,3,,5,17,8
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,ConvertandTestFileVersion(string) : void,65,3,,3,23,8
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelInterface,GetColumnNames() : List<string>,65,2,,6,21,8
Member,TenantRosterAutomation (Release),TenantRosterAutomation,AddOrEditResidentDlg,SetUpApartmentAddressLabel() : void,65,2,,5,16,7
Member,TenantRosterAutomation (Release),TenantRosterAutomation,DeleteRenterDlg,SetUpApartmentAddressLabel() : void,65,2,,5,16,7
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,"findTenantRosterExcelFile(object, EventArgs) : void",65,2,,5,13,8
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PrintSavePreference,InitDictionaries() : void,65,1,,2,12,8
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Tenant,InitAllFields() : void,65,1,,0,12,9
Type,TenantRosterAutomation (Release),TenantRosterAutomation,TenantDataTable, ,66,12,1,8,125,58
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,InitDictionaries() : void,66,3,,1,17,7
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,"CopyValues(UserPreferences, bool) : void",66,2,,1,11,7
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PrintMailboxListsDlg,"PML_SaveAndPrint_Button_Click(object, EventArgs) : void",67,3,,4,19,7
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Globals,CreateExcelDataFile() : ExcelFileData,67,2,,3,14,7
Member,TenantRosterAutomation (Release),TenantRosterAutomation,MSWordInterface,"FullFilePath(string, bool) : string",67,2,,1,14,7
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelFileData,GetWorkSheetCollection() : List<string>,68,2,,2,23,7
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,WritePreferencesToDisc(StreamWriter) : void,68,1,,3,10,5
Type,TenantRosterAutomation (Release),TenantRosterAutomation,ReportCurrentStatusWindow, ,69,8,7,14,79,31
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,"findDefaultFolderLocationExecute(object, EventArgs) : void",69,3,,5,13,5
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Globals,ReleaseAllModels(bool) : void,69,2,,4,10,6
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex,GetBuilding(string) : Building,69,2,,3,21,7
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,ReadPreferenceFile(string) : bool,69,2,,1,20,7
Type,TenantRosterAutomation (Release),TenantRosterAutomation,ApartmentNumberVerifier, ,70,26,7,27,201,59
Type,TenantRosterAutomation (Release),TenantRosterAutomation,CheckExcelWorkBookOpen, ,70,6,1,7,53,17
Member,TenantRosterAutomation (Release),TenantRosterAutomation,MailboxData,addApartmentData(Apartment) : void,70,4,,2,16,5
Member,TenantRosterAutomation (Release),TenantRosterAutomation,MSWordInterface,"PrintAndOrSave(Document, bool, bool, string) : object",70,3,,3,17,7
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,UserPreferences(string),70,3,,1,14,6
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelInterface,"CreateDataTableAddColumns(Range, int, int) : DataTable",70,2,,4,14,5
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex,FindBuildingByApartment(int) : string,71,3,,2,15,6
Member,TenantRosterAutomation (Release),TenantRosterAutomation,TenantDataTable,TenantDataTable(ExcelFileData),71,2,,4,11,5
Member,TenantRosterAutomation (Release),TenantRosterAutomation,TenantDataTable,SaveChanges() : bool,71,2,,3,12,6
Member,TenantRosterAutomation (Release),TenantRosterAutomation,MSWordInterface,"SaveFile(Document, string) : void",71,2,,2,16,5
Type,TenantRosterAutomation (Release),TenantRosterAutomation,Program, ,71,1,1,8,34,6
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Program,Main() : void,71,1,,8,31,6
Member,TenantRosterAutomation (Release),TenantRosterAutomation,MSWordInterface,"FormatDocMargins(Document, Application) : void",71,1,,3,7,4
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,CommonInitialization() : void,71,1,,1,9,6
Type,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences, ,72,49,1,8,305,100
Type,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex, ,72,36,1,14,210,83
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelInterface,"GetColumnNumber(string, List<string>) : int",72,3,,1,15,6
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelInterface,"ExcelInterface(string, string)",72,2,,2,12,5
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Globals,ConstructComplexAndReport(TenantDataTable) : void,72,1,,4,9,5
Type,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelFileData, ,73,22,1,7,138,47
Type,TenantRosterAutomation (Release),TenantRosterAutomation,Globals, ,73,19,1,7,115,44
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex,GetMailBoxList(Building) : MailboxData,73,2,,4,11,5
