Scope,Project,Namespace,Type,Member,Maintainability Index,Cyclomatic Complexity,Depth of Inheritance,Class Coupling,Lines of Source code,Lines of Executable code
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,defaultSaveDirId : int,93,0,,0,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,rentRosterFileId : int,93,0,,0,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,rentRosterSheetNameId : int,93,0,,0,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PrintMailboxListsDlg,"PML_PrintOnly_RB_CheckedChanged(object, EventArgs) : void",96,1,,2,4,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PrintMailboxListsDlg,"PML_SavelOnly_RB_CheckedChanged(object, EventArgs) : void",96,1,,2,4,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PrintMailboxListsDlg,"PML_PrintAndSave_RB_CheckedChanged(object, EventArgs) : void",96,1,,2,4,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,SetValuesToUndefinedState() : void,96,1,,1,4,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation.Properties,Resources,Culture.set(CultureInfo) : void,96,1,,1,4,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,MailboxData,MailboxData(int),96,1,,0,4,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,"EP_DefaultFileFolder_TB_Click(object, EventArgs) : void",97,1,,1,4,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,"EP_BrowseFolderLocation_BTN_Click(object, EventArgs) : void",97,1,,1,4,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation.Properties,Resources,Culture : CultureInfo,98,2,,3,16,4
Member,TenantRosterAutomation (Release),TenantRosterAutomation.Properties,Resources,Resources(),98,1,,1,4,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,MailboxData,FirstFloor : List<Apartment>,100,2,,2,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,MailboxData,SecondFloor : List<Apartment>,100,2,,2,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,MailboxData,ThirdFloor : List<Apartment>,100,2,,2,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex,Buildings : List<Building>,100,2,,2,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,PrintSaveOptions : PrintSavePreference.PrintSave,100,2,,2,5,2
Member,TenantRosterAutomation (Release),TenantRosterAutomation,AddOrEditResidentDlg,CurrentTenant : Tenant,100,2,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Apartment,Tenant : Tenant,100,2,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ApartmentNumberVerifier,TenantData : Tenant,100,2,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ApartmentNumberVerifier,NextAction : ApartmentNumberVerifier.NextActionEnum,100,2,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,DeleteRenterDlg,CurrentTenant : Tenant,100,2,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex,BuildingAddressList : List<string>,100,2,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex,StreetNumbers : List<int>,100,2,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,AddOrEditResidentDlg,ApartmentNumber : int,100,2,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Apartment,ApartmentNumber : int,100,2,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Building,AddressStreetNumber : int,100,2,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Building,FullStreetAddress : string,100,2,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,DeleteRenterDlg,ApartmentNumber : int,100,2,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelFileData,ActiveWorkbookFullFileSpec : string,100,2,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelFileData,ActiveWorkSheet : string,100,2,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelFileData,WorkbookRead : bool,100,2,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelFileData,WorkbookOpen : bool,100,2,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelInterface,ExcelProcessId : int,100,2,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,MailboxData,AddressStreetNumber : int,100,2,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex,MinApartmentNumber : int,100,2,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex,MaxApartmentNumber : int,100,2,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ReportCurrentStatusWindow,MessageText : string,100,2,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Tenant,LastName : string,100,2,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Tenant,FirstName : string,100,2,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Tenant,CoTenantLastName : string,100,2,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Tenant,CoTenantFirstName : string,100,2,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Tenant,Email : string,100,2,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Tenant,HomePhone : string,100,2,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Tenant,RentersInsurancePolicy : string,100,2,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Tenant,LeaseStart : string,100,2,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Tenant,LeaseEnd : string,100,2,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,ExcelWorkBookFullFileSpec : string,100,2,,0,5,2
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,ExcelWorkSheetName : string,100,2,,0,5,2
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,DefaultSaveDirectory : string,100,2,,0,5,2
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,PreferenceValuesChanged : bool,100,2,,0,1,0
Type,TenantRosterAutomation (Release),TenantRosterAutomation,AlreadyOpenInExcelException, ,100,1,2,2,8,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,MailboxData,FirstFloor.get() : List<Apartment>,100,1,,2,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,MailboxData,FirstFloor.set(List<Apartment>) : void,100,1,,2,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,MailboxData,SecondFloor.get() : List<Apartment>,100,1,,2,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,MailboxData,SecondFloor.set(List<Apartment>) : void,100,1,,2,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,MailboxData,ThirdFloor.get() : List<Apartment>,100,1,,2,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,MailboxData,ThirdFloor.set(List<Apartment>) : void,100,1,,2,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex,Buildings.get() : List<Building>,100,1,,2,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex,Buildings.set(List<Building>) : void,100,1,,2,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,AddOrEditResidentDlg,CurrentTenant.get() : Tenant,100,1,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,AddOrEditResidentDlg,CurrentTenant.set(Tenant) : void,100,1,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,AddOrEditResidentDlg,"ANR_Cancel_BTN_Click(object, EventArgs) : void",100,1,,1,4,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,AlreadyOpenInExcelException,AlreadyOpenInExcelException(string),100,1,,1,3,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Apartment,Tenant.get() : Tenant,100,1,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Apartment,Tenant.set(Tenant) : void,100,1,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ApartmentNumberVerifier,TenantData.get() : Tenant,100,1,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ApartmentNumberVerifier,TenantData.set(Tenant) : void,100,1,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ApartmentNumberVerifier,NextAction.get() : ApartmentNumberVerifier.NextActionEnum,100,1,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ApartmentNumberVerifier,NextAction.set(ApartmentNumberVerifier.NextActionEnum) : void,100,1,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ApartmentNumberVerifier,"APV_FindApartment_BTN_Click(object, EventArgs) : void",100,1,,1,4,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Building,ApartmentNumbers : List<int>,100,1,,1,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Building,ApartmentNumbers.get() : List<int>,100,1,,1,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Building,SortApartMentNumbers() : void,100,1,,1,4,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,DeleteRenterDlg,CurrentTenant.get() : Tenant,100,1,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,DeleteRenterDlg,CurrentTenant.set(Tenant) : void,100,1,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,DeleteRenterDlg,"DR_Cancel_BTN_Click(object, EventArgs) : void",100,1,,1,4,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,"EP_SheetName_TB_Click(object, EventArgs) : void",100,1,,1,4,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PrintMailboxListsDlg,"AddDateToFileName_CB_CheckedChanged(object, EventArgs) : void",100,1,,1,4,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PrintMailboxListsDlg,"AddDateUnderAddress_CB_CheckedChanged(object, EventArgs) : void",100,1,,1,4,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex,BuildingAddressList.get() : List<string>,100,1,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex,BuildingAddressList.set(List<string>) : void,100,1,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex,StreetNumbers.get() : List<int>,100,1,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex,StreetNumbers.set(List<int>) : void,100,1,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex,AllApartmentNumbers : List<int>,100,1,,1,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex,AllApartmentNumbers.get() : List<int>,100,1,,1,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,TenantDataTable,TenantRoster : DataTable,100,1,,1,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,TenantDataTable,TenantRoster.get() : DataTable,100,1,,1,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,PrintSaveOptions.get() : PrintSavePreference.PrintSave,100,1,,1,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,PrintSaveOptions.set(PrintSavePreference.PrintSave) : void,100,1,,1,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation.Properties,Resources,Culture.get() : CultureInfo,100,1,,1,4,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,AddOrEditResidentDlg,ApartmentNumber.get() : int,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,AddOrEditResidentDlg,ApartmentNumber.set(int) : void,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,AddOrEditResidentDlg,AddOrEditResidentDlg(),100,1,,0,4,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Apartment,ApartmentNumber.get() : int,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Apartment,ApartmentNumber.set(int) : void,100,1,,0,1,0
Type,TenantRosterAutomation (Release),TenantRosterAutomation,ApartmentNumberVerifier.NextActionEnum, ,100,1,1,0,6,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Building,AddressStreetNumber.get() : int,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Building,AddressStreetNumber.set(int) : void,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Building,FullStreetAddress.get() : string,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Building,FullStreetAddress.set(string) : void,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,DeleteRenterDlg,ApartmentNumber.get() : int,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,DeleteRenterDlg,ApartmentNumber.set(int) : void,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelFileData,ActiveWorkbookFullFileSpec.get() : string,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelFileData,ActiveWorkbookFullFileSpec.set(string) : void,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelFileData,ActiveWorkSheet.get() : string,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelFileData,ActiveWorkSheet.set(string) : void,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelFileData,WorkbookRead.get() : bool,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelFileData,WorkbookRead.set(bool) : void,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelFileData,WorkbookOpen.get() : bool,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelFileData,WorkbookOpen.set(bool) : void,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelInterface,ExcelProcessId.get() : int,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelInterface,ExcelProcessId.set(int) : void,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,MailboxData,AddressStreetNumber.get() : int,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,MailboxData,AddressStreetNumber.set(int) : void,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PrintSavePreference,PrintSavePreference(),100,1,,0,4,1
Type,TenantRosterAutomation (Release),TenantRosterAutomation,PrintSavePreference.PrintSave, ,100,1,1,0,6,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex,PropertyName : string,100,1,,0,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex,PropertyName.get() : string,100,1,,0,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex,MinApartmentNumber.get() : int,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex,MinApartmentNumber.set(int) : void,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex,MaxApartmentNumber.get() : int,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex,MaxApartmentNumber.set(int) : void,100,1,,0,1,0
Type,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex.ApartmentNumberValid, ,100,1,1,0,7,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ReportCurrentStatusWindow,MessageText.get() : string,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ReportCurrentStatusWindow,MessageText.set(string) : void,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ReportCurrentStatusWindow,ReportCurrentStatusWindow(),100,1,,0,4,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Tenant,LastName.get() : string,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Tenant,LastName.set(string) : void,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Tenant,FirstName.get() : string,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Tenant,FirstName.set(string) : void,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Tenant,CoTenantLastName.get() : string,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Tenant,CoTenantLastName.set(string) : void,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Tenant,CoTenantFirstName.get() : string,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Tenant,CoTenantFirstName.set(string) : void,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Tenant,Email.get() : string,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Tenant,Email.set(string) : void,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Tenant,HomePhone.get() : string,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Tenant,HomePhone.set(string) : void,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Tenant,RentersInsurancePolicy.get() : string,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Tenant,RentersInsurancePolicy.set(string) : void,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Tenant,LeaseStart.get() : string,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Tenant,LeaseStart.set(string) : void,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Tenant,LeaseEnd.get() : string,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Tenant,LeaseEnd.set(string) : void,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Tenant,Tenant(),100,1,,0,4,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,TenantDataTable,DataChanged : bool,100,1,,0,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,TenantDataTable,DataChanged.get() : bool,100,1,,0,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,HavePreferenceData : bool,100,1,,0,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,HavePreferenceData.get() : bool,100,1,,0,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,ExcelWorkBookFullFileSpec.get() : string,100,1,,0,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,ExcelWorkBookFullFileSpec.set(string) : void,100,1,,0,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,ExcelWorkSheetName.get() : string,100,1,,0,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,ExcelWorkSheetName.set(string) : void,100,1,,0,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,DefaultSaveDirectory.get() : string,100,1,,0,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,DefaultSaveDirectory.set(string) : void,100,1,,0,1,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,PreferenceValuesChanged.get() : bool,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,PreferenceValuesChanged.set(bool) : void,100,1,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,UserPreferences(),100,1,,0,4,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation.Properties,Settings,Default : Settings,100,1,,0,7,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation.Properties,Settings,Default.get() : Settings,100,1,,0,4,1
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PrintSavePreference,"PrintSaveToStringDic : Dictionary<PrintSavePreference.PrintSave, string>",100,0,,2,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PrintSavePreference,"StringToPrintSaveDic : Dictionary<string, PrintSavePreference.PrintSave>",100,0,,2,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,TenantDataTable,tenantUpdates : List<Apartment>,100,0,,2,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,AddOrEditResidentDlg,ANR_ApartmentNumber_Label : Label,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,AddOrEditResidentDlg,ANR_RenterLastName_Label : Label,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,AddOrEditResidentDlg,ANR_TenantLastName_TB : TextBox,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,AddOrEditResidentDlg,ANR_AlternateContact_Lab : Label,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,AddOrEditResidentDlg,ANR_HomePhone_LAB : Label,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,AddOrEditResidentDlg,ANR_RenterInsurancePolicy_LAB : Label,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,AddOrEditResidentDlg,ANR_MoveInDate_LAB : Label,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,AddOrEditResidentDlg,ANR_SaveNewTenant_BTN : Button,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,AddOrEditResidentDlg,ANR_CoTenantLastName_TB : TextBox,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,AddOrEditResidentDlg,ANR_CoTenantLastName_LAB : Label,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,AddOrEditResidentDlg,ANR_AlternateContact_TB : TextBox,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,AddOrEditResidentDlg,ANR_HomePhone_TB : TextBox,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,AddOrEditResidentDlg,ANR_RenterInsurance_TB : TextBox,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,AddOrEditResidentDlg,ANR_MoveInDate_TB : TextBox,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,AddOrEditResidentDlg,ANR_Cancel_BTN : Button,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,AddOrEditResidentDlg,ANR_TenantFirstName_LAB : Label,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,AddOrEditResidentDlg,ANR_TenantFirstName_TB : TextBox,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,AddOrEditResidentDlg,ANR_AdditionalOccupantFirstName_LAB : Label,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,AddOrEditResidentDlg,ANR_AdditionalOccupantFirstName_TB : TextBox,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,AddOrEditResidentDlg,ANR_LeaseEnd_LAB : Label,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,AddOrEditResidentDlg,ANR_LeaseEnd_TB : TextBox,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ApartmentNumberVerifier,ANV_FindApartment_BTN : Button,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ApartmentNumberVerifier,ANV_ApartmentNumber_TB : TextBox,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ApartmentNumberVerifier,ANV_ApartmentNumber_LAB : Label,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Building,aptNumbers : List<int>,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,DeleteRenterDlg,DR_AptNumber_LAB : Label,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,DeleteRenterDlg,DR_Renter2Delete_LAB : Label,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,DeleteRenterDlg,DR_TenantName_TB : TextBox,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,DeleteRenterDlg,DR_RenterToDeleteYN_GB : GroupBox,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,DeleteRenterDlg,DR_Renter2DeleteNo_RB : RadioButton,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,DeleteRenterDlg,DR_Renter2DeleteYes_RB : RadioButton,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,DeleteRenterDlg,DR_DeleteRenter_BTN : Button,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,DeleteRenterDlg,DR_Cancel_BTN : Button,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,localPreferences : UserPreferences,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,EP_PrintSave_GB : GroupBox,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,EP_SavelOnly_RB : RadioButton,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,EP_PrintAndSave_RB : RadioButton,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,EP_PrintOnly_RB : RadioButton,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,EP_SavePreferences_BTN : Button,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,EP_RentRosterFile_GB : GroupBox,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,EP_RentRosterSheetName_LISTBOX : ListBox,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,EP_SheetName_TB : TextBox,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,EP_SpreadSheetName_LAB : Label,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,EP_FindTenantRoster_BTN : Button,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,EP_RentRosterLocation_TB : TextBox,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,EP_RentRosterLocation_Lab : Label,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,EP_OutputFolder_GB : GroupBox,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,EP_BrowseFolderLocation_BTN : Button,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,EP_DefaultFileFolder_TB : TextBox,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,EP_Cancel_BTN : Button,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelFileData,worksheetContents : DataTable,100,0,,1,1,0
